algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,1000,0.010000,11,8000,12000,4000,133,true,false,true,false,0,false,byte fuera de rango ASCII: 0xD4
HAMMING_12_8,1000,0.010000,12,8000,12000,4000,127,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 68
HAMMING_12_8,1000,0.010000,13,8000,12000,4000,101,true,false,true,false,0,false,byte fuera de rango ASCII: 0xF9
HAMMING_12_8,1000,0.010000,14,8000,12000,4000,118,true,false,true,false,0,false,byte fuera de rango ASCII: 0xFE
HAMMING_12_8,1000,0.010000,15,8000,12000,4000,135,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 244
HAMMING_12_8,1000,0.010000,16,8000,12000,4000,103,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 752
HAMMING_12_8,1000,0.010000,17,8000,12000,4000,124,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 319
HAMMING_12_8,1000,0.010000,18,8000,12000,4000,120,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 765
HAMMING_12_8,1000,0.010000,19,8000,12000,4000,122,true,false,true,false,0,false,byte fuera de rango ASCII: 0xF9
HAMMING_12_8,1000,0.010000,20,8000,12000,4000,121,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 400
HAMMING_12_8,1000,0.050000,1,8000,12000,4000,573,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 29
HAMMING_12_8,1000,0.050000,2,8000,12000,4000,612,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 15
HAMMING_12_8,1000,0.050000,3,8000,12000,4000,596,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 90
HAMMING_12_8,1000,0.050000,4,8000,12000,4000,586,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 85
HAMMING_12_8,1000,0.050000,5,8000,12000,4000,590,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 161
HAMMING_12_8,1000,0.050000,6,8000,12000,4000,595,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 6
HAMMING_12_8,1000,0.050000,7,8000,12000,4000,607,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 74
HAMMING_12_8,1000,0.050000,8,8000,12000,4000,606,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 87
HAMMING_12_8,1000,0.050000,9,8000,12000,4000,601,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 74
HAMMING_12_8,1000,0.050000,10,8000,12000,4000,605,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 7
HAMMING_12_8,1000,0.050000,11,8000,12000,4000,613,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 151
HAMMING_12_8,1000,0.050000,12,8000,12000,4000,578,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 2
HAMMING_12_8,1000,0.050000,13,8000,12000,4000,562,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 65
HAMMING_12_8,1000,0.050000,14,8000,12000,4000,597,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 27
HAMMING_12_8,1000,0.050000,15,8000,12000,4000,599,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 78
HAMMING_12_8,1000,0.050000,16,8000,12000,4000,627,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 77
HAMMING_12_8,1000,0.050000,17,8000,12000,4000,567,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 6
HAMMING_12_8,1000,0.050000,18,8000,12000,4000,567,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 75
HAMMING_12_8,1000,0.050000,19,8000,12000,4000,598,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 5
HAMMING_12_8,1000,0.050000,20,8000,12000,4000,570,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 15
CRC32_IEEE,10,0.000000,1,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,2,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,3,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,4,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,5,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,6,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,7,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,8,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,9,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,10,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,11,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,12,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,13,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,14,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,15,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,16,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,17,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,18,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,19,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.000000,20,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,1,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,2,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,3,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,4,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,5,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.001000,6,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.001000,7,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,8,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,9,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,10,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,11,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,12,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,13,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,14,80,112,32,2,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.001000,15,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,16,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,17,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.001000,18,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,19,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.001000,20,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.010000,1,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.010000,2,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.010000,3,80,112,32,2,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.010000,4,80,112,32,2,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.010000,5,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.010000,6,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.010000,7,80,112,32,0,true,true,false,false,0,true,
CRC32_IEEE,10,0.010000,8,80,112,32,1,true,false,true,false,0,false,CRC mismatch
CRC32_IEEE,10,0.010000,9,80,112,32,1,true,false,true,false,0,false,CRC mismatch
